"Bakjes_ID";"LaagVolgorde";"ID";"Code";"Waarde"
6559;1;6948;"hMax";0,002
6559;2;6949;"RFacOut";0,1
6559;2;6950;"RFacIn";0,1
6559;2;6951;"por";0,2
6559;2;6952;"hMax";1
6560;1;6954;"RFacOut";0,1
6560;1;6955;"RFacIn";0,05
6560;1;6956;"por";0,1
6560;1;6957;"hMax";0,6
6561;1;6959;"hMax";0,002
6561;2;6960;"RFacOut";0,1
6561;2;6961;"RFacIn";0,1
6561;2;6962;"por";0,2
6561;2;6963;"hMax";1
6562;1;6965;"RFacOut";0,02
6562;1;6966;"RFacIn";0,01
6562;1;6967;"por";0,1
6562;1;6968;"hMax";0,4
6563;1;6971;"hMax";0,002
6563;2;6972;"RFacOut";0,1
6563;2;6973;"RFacIn";0,1
6563;2;6974;"por";0,2
6563;2;6975;"hMax";1
6564;1;6977;"RFacOut";0,02
6564;1;6978;"RFacIn";0,01
6564;1;6979;"por";0,1
6564;1;6980;"hMax";0,3
6565;1;6983;"hTarget";-2,46
6565;1;6984;"hMin";-2,47
6565;1;6985;"hMax";-2,45
6565;1;6988;"hBottom";-2,8
6565;1;6989;"QInMax";0
6565;1;6990;"QOutMax";369672
