"BakjeID";"LaagVolgorde";"ID.1";"Code";"Waarde"
7024;1;10224;"hMax";0,002
7024;2;10225;"RFacOut";0,1
7024;2;10226;"RFacIn";0,1
7024;2;10227;"por";0,2
7024;2;10228;"hMax";1
7025;1;10230;"RFacOut";0,1
7025;1;10231;"RFacIn";0,05
7025;1;10232;"por";0,1
7025;1;10233;"hMax";0,6
7026;1;10235;"hMax";0,002
7026;2;10236;"RFacOut";0,1
7026;2;10237;"RFacIn";0,1
7026;2;10238;"por";0,2
7026;2;10239;"hMax";1
7027;1;10241;"RFacOut";0,02
7027;1;10242;"RFacIn";0,01
7027;1;10243;"por";0,1
7027;1;10244;"hMax";0,4
7028;1;10247;"hMax";0,002
7028;2;10248;"RFacOut";0,1
7028;2;10249;"RFacIn";0,1
7028;2;10250;"por";0,2
7028;2;10251;"hMax";1
7029;1;10253;"RFacOut";0,02
7029;1;10254;"RFacIn";0,01
7029;1;10255;"por";0,1
7029;1;10256;"hMax";0,3
7030;1;10259;"hTarget";-2,46
7030;1;10260;"hMin";-2,47
7030;1;10261;"hMax";-2,45
7030;1;10264;"hBottom";-2,8
7030;1;10265;"QInMax";0
7030;1;10266;"QOutMax";369672
