"EAGID";"EAGCode";"BakjeID";"ParamCode";"ParamType";"Waarde";"WaardeAlfa";"StartDag"
2019;"2501-EAG-1";-9999;"Peil";"FEWS";NA;"99999T010_West";NA
2019;"2501-EAG-1";-9999;"Neerslag";"FEWS";NA;"66011cal";NA
2019;"2501-EAG-1";-9999;"Verdamping";"FEWS";NA;"66002_VerdampingCAL";NA
2019;"2501-EAG-1";7024;"Qkwel";"Constant";0;NA;NA
2019;"2501-EAG-1";7025;"Qkwel";"Constant";0,0871853139;NA;NA
2019;"2501-EAG-1";7026;"Qkwel";"Constant";0;NA;NA
2019;"2501-EAG-1";7027;"Qkwel";"ValueSeries";-0,1225328104;NA;"01-04"
2019;"2501-EAG-1";7027;"Qkwel";"ValueSeries";-0,1633770806;NA;"01-10"
2019;"2501-EAG-1";7028;"Qkwel";"Constant";0;NA;NA
2019;"2501-EAG-1";7029;"Qkwel";"ValueSeries";-0,5343953994;NA;"01-04"
2019;"2501-EAG-1";7029;"Qkwel";"ValueSeries";-0,7125271992;NA;"01-10"
2019;"2501-EAG-1";7030;"Qkwel";"Constant";0,0508394381;NA;NA
2019;"2501-EAG-1";7030;"Qwegz";"Constant";0,1190455372;NA;NA
